country,year_start,year_end,population_start,population_end,life_exp_start,life_exp_end,gni_start,gni_end
Afghanistan,1960,2020,8620000.0,39000000.0,45.0,63.4,469.0,500.0
Albania,1960,2020,1710000.0,2870000.0,62.5,77.9,736.0,5210.0
Algeria,1960,2020,11400000.0,43500000.0,52.4,76.2,3670.0,3570.0
Angola,1960,2020,5360000.0,33400000.0,46.3,65.2,1720.0,2140.0
Antigua and Barbuda,1960,2020,55300.0,92700.0,63.8,76.3,2790.0,13800.0
Argentina,1960,2020,20300000.0,45000000.0,65.3,74.6,4740.0,9070.0
Armenia,1960,2020,1900000.0,2810000.0,59.2,74.0,1290.0,4220.0
Australia,1960,2020,10300000.0,25700000.0,71.1,82.9,13500.0,53700.0
Austria,1960,2020,7050000.0,8910000.0,69.0,81.5,11200.0,48400.0
Azerbaijan,1960,2020,4130000.0,10300000.0,48.6,70.4,209.0,4480.0
Bahamas,1960,2020,115000.0,406000.0,61.9,72.3,10800.0,26100.0
Bahrain,1960,2020,161000.0,1480000.0,57.3,76.3,9210.0,19900.0
Bangladesh,1960,2020,50400000.0,167000000.0,43.8,74.7,365.0,2030.0
Barbados,1960,2020,233000.0,281000.0,66.1,76.2,5780.0,14300.0
Belarus,1960,2020,8390000.0,9630000.0,71.0,73.5,7140.0,6360.0
Belgium,1960,2020,9110000.0,11600000.0,70.1,80.2,11700.0,45800.0
Belize,1960,2020,91400.0,395000.0,63.9,72.1,2040.0,4110.0
Benin,1960,2020,2510000.0,12600000.0,44.8,64.6,513.0,1280.0
Bhutan,1960,2020,221000.0,773000.0,42.2,73.3,411.0,2840.0
Bolivia,1960,2020,3710000.0,11900000.0,43.0,69.8,856.0,3180.0
Bosnia and Herzegovina,1960,2020,3260000.0,3320000.0,61.3,75.4,994.0,6080.0
Botswana,1960,2020,513000.0,2550000.0,54.4,61.6,432.0,6640.0
Brazil,1960,2020,73100000.0,213000000.0,52.4,73.6,1490.0,7850.0
Brunei,1960,2020,85300.0,442000.0,55.8,74.4,21800.0,31500.0
Bulgaria,1960,2020,7890000.0,6980000.0,69.4,71.8,2210.0,9630.0
Burkina Faso,1960,2020,4780000.0,21500000.0,39.5,61.8,421.0,770.0
Burundi,1960,2020,2750000.0,12200000.0,43.9,64.0,320.0,230.0
Cambodia,1960,2020,5540000.0,16399999.999999998,49.4,70.0,296.0,1500.0
Cameroon,1960,2020,5120000.0,26500000.0,27.5,63.5,1460.0,1520.0
Canada,1960,2020,17900000.0,37900000.0,71.2,81.5,14800.0,43500.0
Cape Verde,1960,2020,210000.0,583000.0,56.8,73.1,1150.0,3060.0
Central African Republic,1960,2020,1680000.0,5340000.0,45.8,52.4,1260.0,500.0
Chad,1960,2020,3030000.0,16600000.000000002,47.4,60.5,550.0,630.0
